1,basketball,this,ball,is,round,and,orange,color,with,black,pattern,lines,,,
2,basketball,this,ball,is,round,and,orange,color,with,black,pattern,lines,,,
3,basketball,this,ball,is,round,and,orange,color,with,black,pattern,lines,on,the,grass
4,basketball,this,ball,is,round,and,orange,color,with,black,pattern,lines,,,
5,basketball,this,ball,is,round,and,brown,color,with,black,pattern,lines,,,
6,basketball,this,ball,is,round,and,brown,color,with,black,pattern,lines,,,
7,basketball,this,ball,is,round,and,brown,color,with,black,pattern,lines,on,hands,
8,basketball,this,ball,is,round,and,orange,color,with,black,pattern,lines,,,
9,basketball,this,ball,is,round,and,brown,color,with,black,pattern,lines,,,
10,basketball,this,ball,is,round,and,orange,color,with,black,pattern,lines,,,
11,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
12,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
13,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
14,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
15,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
16,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
17,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,on,the,grass
18,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
19,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
20,baseball,this,ball,is,round,and,white,color,with,red,pattern,lines,,,
21,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
22,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
23,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
24,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
25,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,on,the,floor
26,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
27,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
28,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
29,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,on,the,ground
30,soccerball ,this,ball,is,round,and,white,color,with,black,pattern,pentagons,,,
31,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
32,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
33,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
34,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
35,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
36,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
37,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
38,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
39,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
40,americanfootball ,this,ball,is,ellipse,and,brown,color,with,white,pattern,lines,,,
41,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
42,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
43,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
44,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
45,golfball,this,ball,is,round,and,white,color,with,dimply,surface,on,the,pin,
46,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
47,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
48,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
49,golfball,this,ball,is,round,and,white,color,with,dimply,surface,,,,
50,golfball,this,ball,is,round,and,white,color,with,dimply,surface,on,the,grass,
